0.100000	0.099925
0.200000	0.199835
0.300000	0.299799
0.400000	0.399770
0.500000	0.499695
0.600000	0.599657
0.700000	0.699416
0.800000	0.799293
0.900000	0.879102
1.000000	0.978735
1.100000	1.079064
1.200000	1.178667
1.300000	1.278499
1.400000	1.378501
1.500000	1.478111
1.600000	1.578229
1.700000	1.678047
1.800000	1.777092
1.900000	1.877831
2.000000	1.978600
2.100000	2.077920
2.200000	2.177444
2.300000	2.276379
2.400000	2.377381
2.500000	2.477336
2.600000	2.576313
2.700000	2.676054
2.800000	2.776431
2.900000	2.877230
3.000000	2.976710
3.100000	3.075545
3.200000	3.177823
3.300000	3.275307
3.400000	3.376830
3.500000	3.474734
3.600000	3.576066
3.700000	3.676270
3.800000	3.777011
3.900000	3.874778
4.000000	3.976083
4.100000	4.076011
4.200000	4.176933
4.300000	4.275650
4.400000	4.376250
4.500000	4.476572
4.600000	4.574224
4.700000	4.678358
4.800000	4.776949
4.900000	4.872783
5.000000	4.977540
5.100000	5.081694
5.200000	5.178153
5.300000	5.276235
5.400000	5.372886
5.500000	5.474518
5.600000	5.576585
5.700000	5.678815
5.800000	5.780990
5.900000	5.882945
6.000000	5.975355
6.100000	6.079587
6.200000	6.174066
6.300000	6.278828
6.400000	6.370780
6.500000	6.478290
6.600000	6.570769
6.700000	6.680341
6.800000	6.779637
6.900000	6.881536
7.000000	6.980909
7.100000	7.074124
7.200000	7.187329
7.300000	7.278309
7.400000	7.379005
7.500000	7.487232
7.600000	7.578623
7.700000	7.683810
7.800000	7.780770
7.900000	7.874157
8.000000	7.981669
8.100000	8.073000
8.200000	8.185232
8.300000	8.275113
8.400000	8.395468
8.500000	8.489258
8.600000	8.577696
8.700000	8.689792
8.800000	8.782881
8.900000	8.879190
9.000000	8.991990
9.100000	9.087844
9.200000	9.200405
9.300000	9.287794
9.400000	9.387732
9.500000	9.500816
9.600000	9.590880
9.700000	9.673257
9.800000	9.793765
9.900000	9.856514
