1	515	626	
2	505	617	
3	513	620	
4	571	618	
5	635	625	
6	649	625	
7	677	623	
8	665	622	
9	672	616	
10	676	620	
11	658	621	
12	666	619	
13	654	626	
14	663	623	
15	658	623	
16	656	618	
17	666	622	
18	648	625	
19	635	613	
20	598	619	
21	533	618	
22	505	618	
23	507	621	
24	502	618	
25	500	618	
26	500	619	
27	510	620	
28	577	622	
29	627	616	
30	639	623	
31	645	622	
32	674	618	
33	684	621	
34	662	618
35	664	621	
36	656	616	
37	658	621	
38	655	625	
39	663	622	
40	639	616	
41	639	623	
42	599	618	
43	539	618	
44	500	614	
45	506	614
46	508	622
47	498	622	
48	507	620	
49	507	616	
50	508	622	
51	522	620	
52	574	616	
53	632	618	
54	640	617	
55	661	616	
56	661	619	
57	658	616	
58	658	616	
59	657	627	
60	670	624	
61	652	622	
62	637	626	
63	634	625	
64	575	617	
65	526	620	
66	501	623	
67	498	622	
68	494	620	
69	495	622	
70	500	619	
71	498	614	
72	502	620	
73	502	620	
74	507	623	
75	516	616	
76	569	621	
77	623	619	
78	629	615	
79	643	624	
80	638	625	
81	658	614	
82	639	621	
83	623	621	
84	642	622	
85	621	624	
86	568	621	
87	522	615	
88	502	621	
89	501	621	
90	498	614	
91	493	622	
92	499	620	
93	502	624	
94	500	620	
95	500	617	
96	501	622	
97	503	617	
98	506	613	
99	524	616	
100	554	619	
